,Station,Previous Station Code,Up/Down Line,Day of Week,Hour,Minute,Number of Transfer,Congestion0,Congestion1,Congestion2,Congestion3,Congestion4,Congestion5,Congestion6,Congestion7,Congestion8,Congestion9,GetIn_cnt,GetOut_cnt,PrevCongestion0,PrevCongestion1,PrevCongestion2,PrevCongestion3,PrevCongestion4,PrevCongestion5,PrevCongestion6,PrevCongestion7,PrevCongestion8,PrevCongestion9,sin_time,cos_time,sin_minute,cos_minute,Route Code_0.0,Route Code_1.0,Route Code_2.0,Route Code_3.0,Route Code_4.0,Route Code_5.0,Fast Transfer0,Fast Transfer1,Fast Transfer2,Fast Transfer3,Fast Transfer4,Fast Transfer5,Fast Transfer6,Fast Transfer7,Fast Transfer8,Fast Transfer9,Fast Get Off0,Fast Get Off1,Fast Get Off2,Fast Get Off3,Fast Get Off4,Fast Get Off5,Fast Get Off6,Fast Get Off7,Fast Get Off8,Fast Get Off9
0,240,239,1,4,8,40,0.0,,,,,,,,,,,1229.578871451161,1866.4872397830788,90.8,74.4,70.8,68.0,84.8,83.8,70.0,73.6,73.4,64.2,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
1,241,240,1,4,8,40,0.0,,,,,,,,,,,792.1557933222276,881.0732832581087,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,242,241,1,4,8,40,0.0,,,,,,,,,,,891.6374908552552,505.004291456579,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,243,242,1,4,8,40,1.0,,,,,,,,,,,495.82872419495055,1339.4736054885957,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
4,201,243,1,4,8,40,1.0,,,,,,,,,,,152.60677004018584,4111.547193121999,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
5,202,201,1,4,8,40,0.0,,,,,,,,,,,262.04080173375104,5135.240482476583,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
6,203,202,1,4,8,40,1.0,,,,,,,,,,,145.433203023738,2249.787959119148,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
7,204,203,1,4,8,40,1.0,,,,,,,,,,,103.6499415549763,951.8911622794292,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
8,205,204,1,4,8,40,2.0,,,,,,,,,,,141.96968344117906,602.6414365279759,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
